date,source,series_code,series_name,value
1989-11-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,48.41
1989-11-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0021316159803
1989-11-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,47.8200013523556
1989-11-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,47.82
1989-12-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-12-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,64.21
1989-12-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0032293981927
1989-12-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,51.4999991811612
1989-12-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,51.5
1990-01-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,1.0
1990-01-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,67.6
1990-01-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,0.2
1990-01-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0054108567454
1990-01-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,67.5500022769304
1990-01-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,67.55
1990-02-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,1.0
1990-02-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,82.04
1990-02-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,0.4
1990-02-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0095084984833
1990-02-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,75.7299986066639
1990-02-28,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,75.73
1990-03-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,2.0
1990-03-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,36.76
